closestGhost_East	closestGhost_North	closestGhost_South	closestGhost_Stop	closestGhost_West	foodCount_East	foodCount_North	foodCount_South	foodCount_Stop	foodCount_West	ghostDistance_0_East	ghostDistance_0_North	ghostDistance_0_South	ghostDistance_0_Stop	ghostDistance_0_West	ghostDistance_1_East	ghostDistance_1_North	ghostDistance_1_South	ghostDistance_1_Stop	ghostDistance_1_West	target
5	5	5	5	4	96	97	97	97	96	6	5	5	5	4	5	6	6	6	7	Stop
4	4	4	4	5	96	97	97	97	96	5	4	4	4	5	4	5	5	5	6	Stop
5	4	4	4	5	96	97	97	97	96	6	5	5	5	6	5	4	4	4	5	Stop
5	5	5	5	4	96	97	97	97	96	5	6	6	6	7	6	5	5	5	4	Stop
5	4	4	4	5	96	97	97	97	96	6	7	7	7	8	5	4	4	4	5	Stop
4	5	5	5	6	96	97	97	97	96	7	8	8	8	9	4	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	8	9	9	9	10	5	6	6	6	7	Stop
4	5	5	5	6	96	97	97	97	96	9	10	10	10	11	4	5	5	5	6	Stop
5	6	6	6	7	96	97	97	97	96	8	9	9	9	10	5	6	6	6	7	Stop
6	7	7	7	8	96	97	97	97	96	7	8	8	8	9	6	7	7	7	8	Stop
7	8	8	8	9	96	97	97	97	96	8	9	9	9	10	7	8	8	8	9	Stop
8	9	9	9	10	96	97	97	97	96	9	10	10	10	11	8	9	9	9	10	Stop
9	10	10	10	11	96	97	97	97	96	10	11	11	11	12	9	10	10	10	11	Stop
8	9	9	9	10	96	97	97	97	96	9	10	10	10	11	8	9	9	9	10	Stop
7	8	8	8	9	96	97	97	97	96	8	9	9	9	10	7	8	8	8	9	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	8	9	9	9	10	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	9	10	10	10	11	Stop
5	6	6	6	7	96	97	97	97	96	5	6	6	6	7	10	11	11	11	12	Stop
6	7	7	7	8	96	97	97	97	96	6	7	7	7	8	11	12	12	12	13	Stop
7	8	8	8	9	96	97	97	97	96	7	8	8	8	9	12	13	13	13	14	Stop
8	9	9	9	10	96	97	97	97	96	8	9	9	9	10	13	14	14	14	15	Stop
9	10	10	10	11	96	97	97	97	96	9	10	10	10	11	14	15	15	15	16	Stop
10	11	11	11	12	96	97	97	97	96	10	11	11	11	12	15	16	16	16	17	Stop
11	12	12	12	13	96	97	97	97	96	11	12	12	12	13	16	17	17	17	18	Stop
12	13	13	13	14	96	97	97	97	96	12	13	13	13	14	15	16	16	16	17	Stop
13	14	14	14	15	96	97	97	97	96	13	14	14	14	15	14	15	15	15	16	Stop
